Wall time,Step,Value
1699362365.667619,0,0.6693446040153503
1699362589.9626188,1,0.6750015020370483
1699362813.5967515,2,0.6767555475234985
1699363039.6915574,3,0.6792903542518616
1699363274.8728125,4,0.6806130409240723
1699363506.7101352,5,0.6820334196090698
1699363731.2077932,6,0.6824390888214111
1699363955.0834973,7,0.6834301352500916
1699364215.2688093,8,0.6841151714324951
1699364440.9428,9,0.6852433681488037
1699364679.7984715,10,0.6858958601951599
1699364906.239372,11,0.6871602535247803
1699365138.0583715,12,0.687873899936676
1699365360.4146452,13,0.6882924437522888
1699365582.8607128,14,0.6891433000564575
1699365816.4015431,15,0.6897898316383362
1699366046.9197023,16,0.6902675628662109
1699366270.3964856,17,0.6915152072906494
1699366491.6232395,18,0.6918814182281494
1699366714.0515285,19,0.6928822994232178
1699366937.1801448,20,0.6935209631919861
1699367164.1941824,21,0.6941309571266174
1699367389.7466414,22,0.6955651640892029
1699367615.5851998,23,0.6962502002716064
1699367841.733077,24,0.6969520449638367
1699368069.5449996,25,0.6977159976959229
1699368295.4662175,26,0.6987090110778809
1699368520.8367724,27,0.6993101239204407
1699368746.7542326,28,0.6999832987785339
1699368972.9091685,29,0.700684130191803
1699369198.1983876,30,0.7016327381134033
1699369427.3120642,31,0.7013237476348877
1699369650.7430623,32,0.701286256313324
1699369873.0001397,33,0.7013563513755798
1699370095.5354774,34,0.7015024423599243
1699370318.611577,35,0.7013958096504211
1699370534.3103442,36,0.7014284133911133
1699370749.4317882,37,0.70127934217453
1699370966.3897228,38,0.7015320658683777
1699371198.9076612,39,0.7015892863273621
1699371426.7481334,40,0.7014145851135254
1699371654.952387,41,0.7016248106956482
1699371882.9720378,42,0.701335608959198
1699372109.901013,43,0.7015626430511475
1699372336.7953677,44,0.7014816999435425
1699372563.4220004,45,0.7012951374053955
1699372790.0395653,46,0.7012122273445129
1699373016.7465022,47,0.7015981674194336
1699373243.9095645,48,0.7016109824180603
1699373471.250213,49,0.7013948559761047
1699373698.340952,50,0.7014076709747314
1699373926.0790012,51,0.7014777660369873
1699374150.5593975,52,0.7015507817268372
1699374374.1639283,53,0.7015014290809631
1699374596.691016,54,0.7014639377593994
