Wall time,Step,Value
1698079316.4583805,0,0.6400778889656067
1698080080.7537894,1,0.6350645422935486
1698080845.0523643,2,0.6332493424415588
1698081581.969186,3,0.6276102066040039
1698082256.962146,4,0.6290009617805481
1698082916.5464191,5,0.6337231397628784
1698083675.4436104,6,0.6298271417617798
1698084443.2684865,7,0.6340508460998535
1698085213.9397027,8,0.6403493285179138
1698085980.1452172,9,0.6443430185317993
1698086750.8907146,10,0.6447566151618958
1698087516.791179,11,0.647031843662262
1698088242.0774102,12,0.6495409607887268
1698088889.4509983,13,0.6494008302688599
1698089542.5330892,14,0.6488974094390869
1698090217.188675,15,0.6503681540489197
1698090977.217729,16,0.6504628658294678
1698091848.7379167,17,0.6494343876838684
1698092636.3279424,18,0.6504066586494446
1698094041.7971609,19,0.6501500010490417
