Wall time,Step,Value
1698132347.9447827,0,0.5095198154449463
1698132981.2364764,1,0.5075545907020569
1698133589.6341157,2,0.5085159540176392
1698134168.8482263,3,0.5084133148193359
1698134749.6685133,4,0.5084567666053772
1698135331.6950364,5,0.5079227685928345
1698135931.8526003,6,0.5046288967132568
1698136533.5646338,7,0.5092306137084961
1698137134.7161937,8,0.5085278153419495
1698137737.3080072,9,0.5096293687820435
1698138336.8359635,10,0.5091418027877808
1698138934.6886387,11,0.5091733336448669
1698139526.0259519,12,0.5096333622932434
1698140104.4221256,13,0.509026288986206
1698140683.834426,14,0.5086156725883484
1698141262.8205552,15,0.5088999271392822
1698141838.9874055,16,0.5095849633216858
1698142418.2251515,17,0.5093885660171509
1698143009.3419728,18,0.5095188617706299
1698143588.9476686,19,0.5095948576927185
